               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10903,            0.019326,             0.06565,           7.637e-05,                 0.1,          7.4543e-05,          1.5221e-05,            0.086842,            0.012643,            0.053778,              0.0946,              0.0006,              0.0006
                   1,             0.10428,            0.021922,            0.064857,          0.00013702,                0.14,          0.00036431,          0.00010688,            0.082833,            0.013296,            0.053635,            0.088296,           0.0012957,           0.0012957
                   2,            0.097941,            0.022067,             0.06498,          9.0041e-05,                0.12,          0.00012865,          2.8396e-05,            0.080076,            0.013494,            0.053543,            0.081987,           0.0019868,           0.0019868
                   3,            0.094541,            0.022947,            0.065252,          0.00046356,             0.16222,           0.0012736,          0.00041254,            0.078138,            0.013749,            0.053484,            0.075673,           0.0026733,           0.0026733
                   4,            0.090504,            0.024847,            0.064834,          0.00042278,             0.22889,          0.00092159,          0.00025974,            0.075402,            0.014103,            0.053384,            0.069355,           0.0033551,           0.0033551
                   5,            0.085832,            0.026337,            0.064775,          0.00049163,             0.28889,          0.00055843,           0.0002059,            0.073377,            0.014357,            0.053316,            0.063032,           0.0040324,           0.0040324
                   6,            0.079842,            0.026054,            0.064407,          0.00042909,             0.25778,          0.00088415,          0.00023811,            0.070868,            0.014819,            0.053207,            0.056705,            0.004705,            0.004705
                   7,            0.076454,            0.025585,            0.063952,          0.00038894,             0.25778,            0.001093,          0.00030026,            0.069296,             0.01508,            0.053157,            0.050373,           0.0053729,           0.0053729
                   8,            0.073949,            0.026165,            0.064175,          0.00041455,                0.28,           0.0036443,          0.00099836,            0.067651,            0.015341,            0.053082,            0.044036,           0.0060363,           0.0060363
                   9,             0.07198,            0.025089,            0.062997,           0.0010073,             0.29778,           0.0023559,          0.00053691,             0.06735,            0.015364,            0.053023,            0.037695,           0.0066951,           0.0066951
                  10,            0.072234,            0.027813,             0.06298,           0.0010747,             0.36889,           0.0030733,          0.00056758,            0.064096,             0.01584,            0.052838,            0.031349,           0.0073492,           0.0073492
                  11,            0.068569,            0.025853,            0.062941,           0.0026886,             0.61333,           0.0062592,           0.0018562,            0.059061,            0.016372,            0.052259,            0.024999,           0.0079987,           0.0079987
                  12,            0.066909,             0.02761,            0.061829,           0.0030745,             0.70667,           0.0080619,           0.0022482,            0.057279,            0.016673,            0.052066,            0.018644,           0.0086436,           0.0086436
                  13,            0.068266,            0.027466,            0.061857,           0.0020872,             0.57556,            0.011374,           0.0043306,             0.05582,            0.016879,            0.051437,            0.012284,           0.0092839,           0.0092839
                  14,            0.065988,            0.027069,            0.061464,           0.0013792,             0.39556,            0.018463,           0.0096286,            0.066784,            0.014699,             0.05116,            0.009538,            0.009538,            0.009538
                  15,            0.065293,            0.027373,            0.060737,           0.0022821,             0.52889,           0.0069503,           0.0019302,            0.063679,            0.016364,            0.050434,            0.009538,            0.009538,            0.009538
                  16,            0.061435,            0.027936,            0.060254,           0.0020515,                0.56,           0.0083178,           0.0018325,            0.051915,            0.018527,            0.049187,            0.009505,            0.009505,            0.009505
                  17,            0.060888,            0.026135,            0.059933,           0.0019054,                0.54,           0.0052871,           0.0014324,            0.053443,            0.019551,            0.048608,            0.009472,            0.009472,            0.009472
                  18,            0.060508,            0.027045,            0.058714,           0.0020215,             0.38889,            0.011725,             0.00214,            0.059908,            0.018791,            0.048751,            0.009439,            0.009439,            0.009439
                  19,            0.061493,             0.02673,            0.059098,             0.90075,                 0.1,            0.044178,           0.0091217,            0.058071,            0.018584,            0.049213,            0.009406,            0.009406,            0.009406
                  20,            0.060599,            0.024588,            0.059789,             0.90162,            0.077778,            0.025867,            0.005024,            0.057552,            0.017898,            0.049657,            0.009373,            0.009373,            0.009373
                  21,             0.06092,            0.026743,            0.058816,           0.0025093,                 0.7,            0.036283,            0.011755,            0.046577,            0.018236,            0.048117,             0.00934,             0.00934,             0.00934
